City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,longyearbyen,78.2186,15.6401,-2.09,80,75,9.26,SJ,1700749550
145,enewetak,11.3474,162.3373,28.61,66,100,8.1,MH,1700749551
146,punta arenas,-53.15,-70.9167,11.01,66,75,12.35,CL,1700749290
147,koton-karfe,8.1,6.8,35.03,36,98,0.37,NG,1700749551
148,xilin hot,43.9667,116.0333,-21.79,87,3,2.46,CN,1700749551
149,nar'yan-mar,67.6713,53.087,-14.94,98,100,0.89,RU,1700749551
150,codrington,-38.2667,141.9667,13.93,97,100,4.59,AU,1700749551
151,kavaratti,10.5669,72.642,28.76,69,100,1.13,IN,1700749551
152,caburan,5.9181,125.6411,27.07,83,100,3.86,PH,1700749551
153,tolanaro,-25.0319,46.9987,27.04,74,40,10.8,MG,1700749551
154,kailua-kona,19.6406,-155.9956,23.98,96,20,1.54,US,1700749482
155,prata,-19.3072,-48.9242,25.85,68,97,2.03,BR,1700749552
156,sitka,57.0531,-135.33,10.94,76,100,4.12,US,1700749552
157,saipan,15.1355,145.701,27.39,83,75,5.14,MP,1700749552
158,shar'ya,58.3686,45.5144,-12.23,82,54,4.02,RU,1700749552
159,tsengel,49.4783,100.8894,-17.0,63,9,0.94,MN,1700749552
160,kourou,5.1552,-52.6478,31.03,71,21,3.5,GF,1700749552
161,princeville,45.7668,-61.2985,7.03,97,100,8.23,CA,1700749552
162,la'ie,21.6477,-157.9253,23.98,89,46,1.79,US,1700749552
163,elmadag,39.9208,33.2308,11.92,74,49,1.65,TR,1700749286
164,keflavik,64.0049,-22.5624,1.24,75,75,1.03,IS,1700749552
165,archangelos,36.2149,28.1149,20.17,64,100,2.13,GR,1700749553
166,yankton,42.8711,-97.3973,-2.86,74,0,5.14,US,1700749553
167,sena madureira,-9.0656,-68.6569,32.1,52,100,1.61,BR,1700749553
168,haiku-pauwela,20.9219,-156.3051,24.47,86,0,0.0,US,1700749553
169,nogliki,51.8333,143.1667,-8.14,94,100,7.15,RU,1700749553
170,vorgashor,67.5833,63.95,-11.47,87,100,4.81,RU,1700749553
171,pisco,-13.7,-76.2167,22.03,73,0,4.63,PE,1700749553
172,severo-yeniseyskiy,60.3725,93.0408,-27.75,100,56,1.33,RU,1700749438
173,thompson,55.7435,-97.8558,-16.91,78,75,5.14,CA,1700749553
174,san patricio,28.017,-97.5169,12.14,74,100,3.09,US,1700749554
175,riberalta,-10.9833,-66.1,28.11,78,75,2.06,BO,1700749408
176,antigonish,45.6169,-61.9986,7.3,97,100,1.79,CA,1700749554
177,cloverdale,38.8055,-123.0172,12.64,81,0,1.79,US,1700749554
178,anadyr,64.75,177.4833,-2.72,86,100,6.71,RU,1700749554
179,myrina,39.8797,25.0742,16.58,88,40,2.57,GR,1700749554
180,talnakh,69.4865,88.3972,-26.87,98,60,3.3,RU,1700749554
181,zapala,-38.8992,-70.0544,14.56,27,0,4.11,AR,1700749539
182,rocha,-34.4833,-54.3333,23.83,34,0,3.58,UY,1700749554
183,borogontsy,62.6683,131.1683,-28.42,99,100,1.33,RU,1700749554
184,tralee,52.2704,-9.7026,12.14,87,100,3.09,IE,1700749554
185,comodoro rivadavia,-45.8667,-67.5,18.92,20,0,7.72,AR,1700749032
186,kaltan,53.5347,87.2457,-4.4,75,100,1.52,RU,1700749555
187,bengkulu,-3.8004,102.2655,24.68,93,100,0.9,ID,1700749555
188,pundong,-7.9522,110.3486,26.27,89,93,4.09,ID,1700749555
189,san felice circeo,41.2372,13.0942,23.09,56,2,0.89,IT,1700749555
190,novaya igirma,57.1334,103.9112,-17.45,99,93,0.61,RU,1700749555
